source_workspace_id;source_attribute;object_title;legacy_object_id;legacy_object_type;aac_lookup_category
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentstarttime;Interaction Lifecycle;3959696;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentstarttime;Customer Journey Analytics;3959718;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;segment.actualsegmentstarttime;Inbound Call Detail;3840046;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;segment.ucinteractiontime;[Mitel Group] Interaction Lifecycle;3962637;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Hourly Inbound Interaction Statistics;3845891;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Avg Handle Time by Channel Time by Hour;152440;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Dialer Performance and Penetration;1462;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Leads Analysis;3839246;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Leads Analysis - Table;3839248;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Avg Queue Time by Channel Type by Hour;152444;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Hourly Dialer Disposition;1460;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Dialer Penetration Performance Analysis;3840561;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Agents Handling Interactions by Channel Type Trend by Hour;152446;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Hourly Inbound Statistics;1459;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Interactions by Channel Type Trend by Hour;152448;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Account Overview;3840343;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Omnichannel Overview;152450;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Hourly Inbound Statistics;1457;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Leads Analysis - Heatmap;3839247;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;startedtime.startedhour;Agent Occupancy Trend by Hour;152442;visualizationObject;visualization
